id	name	description	price_min	price_max	amazon	kaspi
59	Spa Set	Assortment of bath products for a relaxing home spa experience	6000	12000	https://www.amazon.com/s?k=Spa+Set	https://kaspi.kz/shop/search/?text=Spa%20Set
60	Leather Journal	Premium quality leather-bound journal for writing	3500	7000	https://www.amazon.com/s?k=Leather+Journal	https://kaspi.kz/shop/search/?text=Leather%20Journal
61	Portable Hammock	Lightweight and durable hammock for outdoor relaxation	8000	18000	https://www.amazon.com/s?k=Portable+Hammock	https://kaspi.kz/shop/search/?text=Portable%20Hammock
62	Robotic Vacuum Cleaner	Smart robot vacuum for effortless home cleaning	30000	70000	https://www.amazon.com/s?k=Robotic+Vacuum+Cleaner	https://kaspi.kz/shop/search/?text=Robotic%20Vacuum%20Cleaner
63	Hydroponic Garden System	Indoor hydroponic garden for fresh veg and herbs	15000	40000	https://www.amazon.com/s?k=Hydroponic+Garden+System	https://kaspi.kz/shop/search/?text=Hydroponic%20Garden%20System
64	LEGO set	Set of various LEGO toys	15000	30000	https://www.amazon.com/s?k=LEGO+set	https://kaspi.kz/shop/search/?text=LEGO%20set
65	Reversible Bed Set	Set of duvet cover, sheets, and pillowcases with multiple designs	5000	10000	https://www.amazon.com/s?k=Reversible+Bed+Set	https://kaspi.kz/shop/search/?text=Reversible%20Bed%20Set
66	DIY Craft Set	Assorted crafting tools and materials for creative projects	3000	8000	https://www.amazon.com/s?k=DIY+Craft+Set	https://kaspi.kz/shop/search/?text=DIY%20Craft%20Set
67	Luggage Set	Durable and stylish luggage for traveling	15000	40000	https://www.amazon.com/s?k=Luggage+Set	https://kaspi.kz/shop/search/?text=Luggage%20Set
68	Fruit Infuser Water Bottle	Water bottle with a fruit infuser for flavored hydration	1500	3000	https://www.amazon.com/s?k=Fruit+Infuser+Water+Bottle	https://kaspi.kz/shop/search/?text=Fruit%20Infuser%20Water%20Bottle
69	Wall Organizer	Practical and stylish wall-mounted storage solution	3000	7000	https://www.amazon.com/s?k=Wall+Organizer	https://kaspi.kz/shop/search/?text=Wall%20Organizer
70	Digital Home Cooker	Smart multicooker for convenient and fast cooking	8000	20000	https://www.amazon.com/s?k=Digital+Home+Cooker	https://kaspi.kz/shop/search/?text=Digital%20Home%20Cooker
71	Bean Bag Chair	Comfortable and stylish oversized bean bag chair	12000	24000	https://www.amazon.com/s?k=Bean+Bag+Chair	https://kaspi.kz/shop/search/?text=Bean%20Bag%20Chair
72	Waffle Maker	Non-stick waffle maker with adjustable heat settings	6000	12000	https://www.amazon.com/s?k=Waffle+Maker	https://kaspi.kz/shop/search/?text=Waffle%20Maker
73	Kitchen Knife Set	High-quality stainless steel knives with a wooden block	10000	20000	https://www.amazon.com/s?k=Kitchen+Knife+Set	https://kaspi.kz/shop/search/?text=Kitchen%20Knife%20Set
74	Calendar Organizer	Customizable calendar with space for personal notes	2000	3000	https://www.amazon.com/s?k=Calendar+Organizer	https://kaspi.kz/shop/search/?text=Calendar%20Organizer
75	Wooden Decorative Tray	Stylish tray for serving or displaying items	2000	4000	https://www.amazon.com/s?k=Wooden+Decorative+Tray	https://kaspi.kz/shop/search/?text=Wooden%20Decorative%20Tray
76	Cooking Class Voucher	Gift voucher for a master cooking class	7000	15000	https://www.amazon.com/s?k=Cooking+Class+Voucher	https://kaspi.kz/shop/search/?text=Cooking%20Class%20Voucher
77	Mirrorless Camera	Compact and high-performance digital camera	50000	150000	https://www.amazon.com/s?k=Mirrorless+Camera	https://kaspi.kz/shop/search/?text=Mirrorless%20Camera
78	Electric Toothbrush	Rechargeable toothbrush with multiple cleaning modes	6000	15000	https://www.amazon.com/s?k=Electric+Toothbrush	https://kaspi.kz/shop/search/?text=Electric%20Toothbrush
79	Weighted Blanket	Therapeutic blankets for better sleep and relaxation	10000	20000	https://www.amazon.com/s?k=Weighted+Blanket	https://kaspi.kz/shop/search/?text=Weighted%20Blanket
80	Streaming Device	Access to thousands of TV shows and movies	7000	14000	https://www.amazon.com/s?k=Streaming+Device	https://kaspi.kz/shop/search/?text=Streaming%20Device
81	Cosmetics Set	Assorted makeup products and brushes for beauty enthusiasts	8000	18000	https://www.amazon.com/s?k=Cosmetics+Set	https://kaspi.kz/shop/search/?text=Cosmetics%20Set
82	Audiobook Subscription	Monthly subscription for unlimited audiobook access	2500	5000	https://www.amazon.com/s?k=Audiobook+Subscription	https://kaspi.kz/shop/search/?text=Audiobook%20Subscription
83	Travel Map	Personalized world map to track travel adventures	3000	6000	https://www.amazon.com/s?k=Travel+Map	https://kaspi.kz/shop/search/?text=Travel%20Map
84	Pet Grooming Set	Brushes, shampoos, and grooming tools for pets	3000	6000	https://www.amazon.com/s?k=Pet+Grooming+Set	https://kaspi.kz/shop/search/?text=Pet%20Grooming%20Set
85	Meditation Cushion	Premium cushion for added comfort during meditation	4000	10000	https://www.amazon.com/s?k=Meditation+Cushion	https://kaspi.kz/shop/search/?text=Meditation%20Cushion
86	Tabletop Firepit	Glass-enclosed decorative fire pit for indoor use	5000	12000	https://www.amazon.com/s?k=Tabletop+Firepit	https://kaspi.kz/shop/search/?text=Tabletop%20Firepit
87	Protein Powder Set	Assorted flavors of high-quality whey protein powder	8000	18000	https://www.amazon.com/s?k=Protein+Powder+Set	https://kaspi.kz/shop/search/?text=Protein%20Powder%20Set
88	Darts Set	Professional darts set with board and accessories	4000	10000	https://www.amazon.com/s?k=Darts+Set	https://kaspi.kz/shop/search/?text=Darts%20Set
89	Virtual Reality Headset	Immersive gaming and video experience	15000	40000	https://www.amazon.com/s?k=Virtual+Reality+Headset	https://kaspi.kz/shop/search/?text=Virtual%20Reality%20Headset
90	Smart Plug Set	Set of Wi-Fi-enabled smart plugs for home automation	4000	10000	https://www.amazon.com/s?k=Smart+Plug+Set	https://kaspi.kz/shop/search/?text=Smart%20Plug%20Set
91	Electric Blanket	Adjustable heated blanket for maximum comfort	8000	16000	https://www.amazon.com/s?k=Electric+Blanket	https://kaspi.kz/shop/search/?text=Electric%20Blanket
92	Vinyl Record Collection	Set of classic albums on vinyl	5000	15000	https://www.amazon.com/s?k=Vinyl+Record+Collection	https://kaspi.kz/shop/search/?text=Vinyl%20Record%20Collection
93	Curling Iron Set	Set of different sized curling wands for hair styling	5000	15000	https://www.amazon.com/s?k=Curling+Iron+Set	https://kaspi.kz/shop/search/?text=Curling%20Iron%20Set
94	Online Fitness Membership	Monthly subscription to virtual fitness classes	4000	10000	https://www.amazon.com/s?k=Online+Fitness+Membership	https://kaspi.kz/shop/search/?text=Online%20Fitness%20Membership
95	Picnic Set	Insulated basket, cutlery, plates, and wine glasses	6000	12000	https://www.amazon.com/s?k=Picnic+Set	https://kaspi.kz/shop/search/?text=Picnic%20Set
96	Gift Card	Preloaded gift card to a popular retailer	5000	50000	https://www.amazon.com/s?k=Gift+Card	https://kaspi.kz/shop/search/?text=Gift%20Card
